world,method,metric,rmse,mean,median,std,min,max
small_house,liosam,ape,0.048937,0.046505,0.044662,0.015236,0.012617,0.089764
small_house,liosam,rpe,0.024991,0.018214,0.012134,0.017112,0.002782,0.085874
small_house,rkolio,ape,0.148254,0.144042,0.138202,0.035089,0.068652,0.236928
small_house,rkolio,rpe,0.042127,0.030287,0.018819,0.029282,0.006855,0.150466
small_house,fastlio,ape,0.025638,0.024919,0.025449,0.006028,0.010233,0.035767
small_house,fastlio,rpe,0.018275,0.011642,0.007002,,,
warehouse,liosam,ape,0.040107,0.037391,0.037360,0.014509,0.007087,0.089492
warehouse,liosam,rpe,0.023056,0.016297,0.012848,0.016309,0.001990,0.090753
warehouse,rkolio,ape,0.162965,0.145284,0.148055,0.073825,0.020170,0.337091
warehouse,rkolio,rpe,0.033388,0.026695,0.020580,0.020054,0.004456,0.096373
warehouse,fastlio,ape,0.033522,0.032670,0.031950,0.007508,0.004243,0.087948
warehouse,fastlio,rpe,0.015875,0.009121,0.004628,,,
bookstore,liosam,ape,21.688540,16.625111,10.504245,13.928332,2.399615,64.641803
bookstore,liosam,rpe,22.961582,16.156180,11.433109,16.316007,0.004269,87.549158
bookstore,rkolio,ape,0.493647,0.433547,0.330256,0.236061,0.072378,0.937111
bookstore,rkolio,rpe,0.147529,0.055859,0.023062,0.136545,0.005719,0.691307
bookstore,fastlio,ape,0.038620,0.033710,0.030140,0.018845,0.003284,0.101322
bookstore,fastlio,rpe,0.021521,0.012586,0.005017,,,
